crate,axis,value,n_functions,n_known_ground_truth,n_true_cgus,n_predicted_groups,adjusted_rand_index,homogeneity,completeness,build_ok,notes,elapsed_s,timestamp
xsv,default,bfd_cgu16_ltooff_opt3_incroff,2793,722,16,148,0.9821,1.0,0.975,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",9.0,2026-08-06T01:36:57
xsv,linker,gold,2797,722,16,171,0.9496,0.9978,0.9372,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",9.7,2026-08-06T01:37:06
xsv,linker,lld,2793,722,16,148,0.9821,1.0,0.975,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",9.7,2026-08-06T01:37:15
xsv,linker,mold,2793,722,16,146,0.9821,1.0,0.975,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",8.7,2026-08-06T01:37:25
xsv,codegen-units,1,2152,489,1,37,0.0,1.0,0.0,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",16.3,2026-08-06T01:37:34
xsv,codegen-units,256,2947,738,92,238,0.9583,0.9757,0.9874,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",11.1,2026-08-06T01:37:50
xsv,lto,off,2793,722,16,148,0.9821,1.0,0.975,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",10.8,2026-08-06T01:38:02
xsv,lto,thin-local,2793,722,16,148,0.9821,1.0,0.975,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",11.2,2026-08-06T01:38:13
xsv,lto,thin,2617,721,16,136,0.9824,1.0,0.975,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",14.3,2026-08-06T01:38:25
xsv,lto,fat,1842,1841,1,728,0.0,1.0,0.0,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",22.6,2026-08-06T01:38:40
xsv,opt-level,2,2933,773,16,146,0.9709,0.9993,0.9588,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",8.5,2026-08-06T01:39:03
xsv,incremental,on,0,0,0,0,,,,True,"built OK, no scorable binary (possibly collapsed to 1 CGU / no matching rcgu.o)",9.6,2026-08-06T01:39:12
hexyl,default,bfd_cgu16_ltooff_opt3_incroff,2014,521,25,86,0.9201,0.9742,0.9043,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",5.5,2026-08-06T01:39:21
hexyl,linker,gold,2018,521,25,97,0.84,0.9731,0.863,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",5.5,2026-08-06T01:39:27
hexyl,linker,lld,2014,521,25,86,0.9201,0.9742,0.9043,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",5.3,2026-08-06T01:39:32
hexyl,linker,mold,2014,521,25,88,0.9201,0.9755,0.9044,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",5.1,2026-08-06T01:39:38
hexyl,codegen-units,1,1603,439,2,25,0.71,1.0,0.4922,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",7.3,2026-08-06T01:39:43
hexyl,codegen-units,256,2041,521,50,129,0.9081,0.9502,0.9222,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",6.1,2026-08-06T01:39:50
hexyl,lto,off,2014,521,25,86,0.9201,0.9742,0.9043,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",5.2,2026-08-06T01:39:56
hexyl,lto,thin-local,1338,1337,1,501,0.0,1.0,0.0,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",9.9,2026-08-06T01:40:02
hexyl,lto,thin,1877,464,16,85,0.9182,0.9714,0.8886,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",6.8,2026-08-06T01:40:12
hexyl,lto,fat,1338,1337,1,501,0.0,1.0,0.0,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",10.0,2026-08-06T01:40:19
hexyl,opt-level,2,2030,523,25,85,0.922,0.9733,0.9092,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",5.3,2026-08-06T01:40:29
hexyl,incremental,on,0,0,0,0,,,,True,"built OK, no scorable binary (possibly collapsed to 1 CGU / no matching rcgu.o)",4.5,2026-08-06T01:40:34
zoxide,default,bfd_cgu16_ltooff_opt3_incroff,2115,623,16,69,0.9929,1.0,0.9881,True,"A (symbol sort-order-reset; corpus mean ARI 0.883, homogeneity 0.985)",10.6,2026-08-06T01:40:40
