repo,crate_name,source,tier,has_unstripped_twin,has_save_temps_now,last_build_date,rustc_version,notes
tokei (root),tokei (root),round3 (cgu-recon prior rounds),A,True,False,2026-08-04/05 (round3 session),see round3 notes,"pre-extracted truth file retained, raw .o already cleaned up"
ripgrep (root),ripgrep (root),round3 (cgu-recon prior rounds),A,True,False,2026-08-04/05 (round3 session),see round3 notes,"pre-extracted truth file retained, raw .o already cleaned up"
regex_automata in bat,regex_automata in bat,round3 (cgu-recon prior rounds),A,True,False,2026-08-04/05 (round3 session),see round3 notes,"pre-extracted truth file retained, raw .o already cleaned up"
clap_builder in fd,clap_builder in fd,round3 (cgu-recon prior rounds),A,True,False,2026-08-04/05 (round3 session),see round3 notes,"pre-extracted truth file retained, raw .o already cleaned up"
bandwhich,bandwhich,unhusk/realval/corpus_src (in-scope),B,True,False,2026-05-14 17:47:38 +0800,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=424
bat,bat,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-01 23:15:58 +0300,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=319
bore,bore-cli,unhusk/realval/corpus_src (in-scope),C,False,False,2026-02-04 10:00:26 -0800,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=126
bottom,bottom,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-15 08:11:49 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=230
dog,dog,unhusk/realval/corpus_src (in-scope),C,False,False,2021-10-07 22:48:48 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=106
dprint,dprint,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-14 18:23:41 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=386
dufs,dufs,unhusk/realval/corpus_src (in-scope),B,True,False,2026-06-29 20:01:17 +0800,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=339
dust,du-dust,unhusk/realval/corpus_src (in-scope),B,True,False,2026-02-21 15:29:15 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=132
eza,eza,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-09 11:35:56 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=216
fclones,fclones,unhusk/realval/corpus_src (in-scope),B,True,False,2025-03-03 10:48:19 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=199
fd,fd-find,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-15 14:22:25 -0600,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=130
ferium,ferium,unhusk/realval/corpus_src (in-scope),C,False,False,2026-05-16 12:41:03 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=372
