binary,crate_repo,package_name,bin_name,n_functions,n_known_ground_truth,n_true_cgus,n_predicted_groups,adjusted_rand_index,homogeneity,completeness,build_config,elapsed_build_s,timestamp
round3_tokei,round3_prior,tokei,realtokei_unstripped,4418,521,16,199,0.9112,0.9886,0.9084,"round3 prior build, various configs, see round3/ROUND*.md",0.0,2026-08-06T00:19:08
round3_ripgrep,round3_prior,rg,realripgrep_unstripped,8895,1406,16,151,0.9683,0.9984,0.9485,"round3 prior build, various configs, see round3/ROUND*.md",0.0,2026-08-06T00:19:09
round3_bat_regex_automata,round3_prior,regex_automata,realbat2_unstripped,8197,644,16,1060,0.9837,0.9973,0.9638,"round3 prior build, various configs, see round3/ROUND*.md",0.0,2026-08-06T00:19:11
round3_fd_clap_builder,round3_prior,clap_builder,realfd2_unstripped,6735,439,16,732,0.9594,0.9918,0.9508,"round3 prior build, various configs, see round3/ROUND*.md",0.0,2026-08-06T00:19:12
xsv__xsv,xsv,xsv,xsv,2793,722,16,148,0.9821,1.0,0.975,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",13.2,2026-08-06T00:19:41
hexyl__hexyl,hexyl,hexyl,hexyl,2014,521,25,86,0.9201,0.9742,0.9043,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",5.2,2026-08-06T00:19:49
sd__xtask,sd,xtask,xtask,1619,145,16,81,0.7019,0.9701,0.7903,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",8.1,2026-08-06T00:20:00
pastel__pastel,pastel,pastel,pastel,1691,373,32,75,0.9799,0.9827,0.9858,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",10.1,2026-08-06T00:20:12
zoxide__zoxide,zoxide,zoxide,zoxide,2115,623,16,69,0.9929,1.0,0.9881,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",9.0,2026-08-06T00:20:27
just__just,just,just,just,7064,2273,31,299,0.9808,0.9983,0.9672,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",27.8,2026-08-06T00:21:27
grex__grex,grex,grex,grex,3391,158,16,131,0.5824,1.0,0.738,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",10.8,2026-08-06T00:21:41
hyperfine__hyperfine,hyperfine,hyperfine,hyperfine,2395,484,16,142,0.9982,1.0,0.9907,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",10.9,2026-08-06T00:21:52
fclones__fclones,fclones,fclones,fclones,6416,1657,32,342,0.9387,1.0,0.9643,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",21.8,2026-08-06T00:22:36
gping__gping,gping,gping,gping,4574,554,16,250,0.9581,0.998,0.9179,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",16.8,2026-08-06T00:22:55
tokei__tokei,tokei,tokei,tokei,4759,1089,32,275,0.6988,0.9911,0.8904,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",29.0,2026-08-06T00:23:26
eza__eza,eza,eza,eza,2853,458,16,1072,0.7489,0.9898,0.7422,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",37.4,2026-08-06T00:24:06
websocat__websocat,websocat,websocat,websocat,7401,3129,32,364,0.9885,0.9995,0.9733,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",79.3,2026-08-06T00:27:06
bottom__btm,bottom,bottom,btm,6698,2050,16,288,0.9422,0.9985,0.9287,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",83.0,2026-08-06T00:28:34
ouch__ouch,ouch,ouch,ouch,8814,2483,16,896,0.9942,0.9996,0.9871,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",61.5,2026-08-06T00:29:39
rathole__rathole,rathole,rathole,rathole,4263,1436,32,930,0.9762,0.9932,0.9375,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",100.8,2026-08-06T00:31:32
oxker__oxker,oxker,oxker,oxker,6644,2298,16,371,0.9749,0.9998,0.9666,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",42.3,2026-08-06T00:32:16
procs__procs,procs,procs,procs,10249,2140,16,444,0.942,0.9888,0.9249,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",49.2,2026-08-06T00:33:08
rustscan__rustscan,rustscan,rustscan,rustscan,6972,1166,32,487,0.9605,0.9977,0.9529,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",39.2,2026-08-06T00:33:49
bat__bat,bat,bat,bat,10316,1455,32,800,0.9916,0.9997,0.9843,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",43.6,2026-08-06T00:35:43
dufs__dufs,dufs,dufs,dufs,8869,1945,16,1280,0.9762,0.9985,0.9544,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",33.2,2026-08-06T00:36:38
mqttui__mqttui,mqttui,mqttui,mqttui,9201,1025,16,1313,0.8768,0.9944,0.8701,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",51.8,2026-08-06T00:37:31
pueue__pueue,pueue,pueue,pueue,10419,2001,31,575,0.9533,1.0,0.9658,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",38.8,2026-08-06T00:38:13
pueue__pueued,pueue,pueue,pueued,10219,1181,17,563,0.9734,0.9988,0.9541,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",38.8,2026-08-06T00:38:16
ferium__ferium,ferium,ferium,ferium,22458,3106,16,1713,0.961,0.9986,0.9153,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",80.2,2026-08-06T00:39:40
xh__xh,xh,xh,xh,15243,2200,16,1682,0.8461,0.9987,0.8803,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",55.5,2026-08-06T00:40:39
dprint__dprint,dprint,dprint,dprint,35019,8166,16,866,0.9754,0.9973,0.9525,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",86.5,2026-08-06T00:42:12
rage__rage,rage,rage,rage,6061,467,16,1247,0.7658,0.9932,0.7898,"release,-C save-temps,codegen-units=16,lto=false,strip=false,default-linker",29.5,2026-08-06T00:42:43
