binary,n_known,n_true_cgus,n_groups_on_known,ari,homogeneity,weighted_purity,frac_pure_groups_ge5,n_groups_ge20,worst_group_purity_ge20,median_group_purity_ge20
bacon__bacon,2940,19,104,0.8745,0.9963,0.9952,0.8889,17,1.0,1.0
bandwhich__bandwhich,1086,16,44,0.8937,0.9926,0.989,0.9,17,1.0,1.0
bat__bat,1455,32,46,0.9916,0.9997,0.9993,1.0,25,1.0,1.0
bottom__btm,2050,16,51,0.9422,0.9985,0.998,0.95,18,1.0,1.0
broot__broot,4041,31,108,0.9213,0.9988,0.9983,0.9375,20,1.0,1.0
cargo-bloat__cargo-bloat,270,16,26,0.9337,0.985,0.9852,0.9333,3,1.0,1.0
cargo-generate__cargo-generate,3758,32,78,0.8286,0.9949,0.9936,0.7941,20,1.0,1.0
choose__choose,152,16,39,0.7199,0.9738,0.9605,0.9,1,1.0,1.0
difftastic__difft,941,16,106,0.8081,0.9995,0.9989,1.0,15,1.0,1.0
dprint__dprint,8166,16,104,0.9754,0.9973,0.996,0.8889,16,1.0,1.0
dufs__dufs,1945,16,37,0.9762,0.9985,0.9974,1.0,15,1.0,1.0
dust__dust,626,16,25,0.965,0.9992,0.9984,1.0,16,1.0,1.0
eza__eza,458,16,79,0.7489,0.9898,0.9934,0.8824,8,0.95,1.0
fclones__fclones,1657,32,38,0.9387,1.0,1.0,1.0,25,1.0,1.0
fd__fd,844,16,31,0.9682,1.0,1.0,1.0,16,1.0,1.0
ferium__ferium,3106,16,75,0.961,0.9986,0.9981,1.0,13,1.0,1.0
feroxbuster__feroxbuster,2508,31,58,0.9763,0.9994,0.9988,1.0,23,1.0,1.0
git-delta__delta,1248,16,46,0.9372,0.9953,0.992,1.0,17,1.0,1.0
gitui__gitui,3538,16,175,0.9376,0.9932,0.989,0.8095,16,1.0,1.0
gping__gping,554,16,40,0.9581,0.998,0.9964,1.0,12,1.0,1.0
grex__grex,158,16,36,0.5824,1.0,1.0,1.0,2,1.0,1.0
hexyl__hexyl,521,25,42,0.9201,0.9742,0.9578,0.9412,8,0.6207,1.0
hyperfine__hyperfine,484,16,19,0.9982,1.0,1.0,1.0,8,1.0,1.0
jsonxf__jsonxf,78,14,14,0.9258,0.9732,0.9744,0.8571,1,1.0,1.0
just__just,2273,31,46,0.9808,0.9983,0.9978,0.9333,19,1.0,1.0
lsd__lsd,604,16,19,0.9864,1.0,1.0,1.0,14,1.0,1.0
mdbook__mdbook,1484,16,50,0.9616,0.9982,0.9973,0.9412,16,1.0,1.0
miniserve__miniserve,3611,16,142,0.8509,0.9939,0.99,0.913,20,1.0,1.0
mqttui__mqttui,1025,16,52,0.8768,0.9944,0.9922,0.8947,16,1.0,1.0
navi__navi,1056,32,120,0.8167,0.9971,0.9962,0.9737,17,1.0,1.0
netscanner__netscanner,2613,16,77,0.9671,0.9955,0.9927,1.0,16,1.0,1.0
oha__oha,6413,32,44,0.9815,1.0,1.0,1.0,32,1.0,1.0
onefetch__onefetch,2903,31,107,0.8964,0.9898,0.9842,0.8485,20,1.0,1.0
ouch__ouch,2483,16,28,0.9942,0.9996,0.9992,1.0,16,1.0,1.0
oxker__oxker,2298,16,29,0.9749,0.9998,0.9996,1.0,17,1.0,1.0
pastel__pastel,373,32,32,0.9799,0.9827,0.9786,0.8636,6,1.0,1.0
procs__procs,2140,16,51,0.942,0.9888,0.9864,0.9375,16,0.7453,1.0
pueue__pueue,2001,31,44,0.9533,1.0,1.0,1.0,26,1.0,1.0
pueue__pueued,1181,17,35,0.9734,0.9988,0.9983,1.0,15,1.0,1.0
rage__rage,467,16,72,0.7658,0.9932,0.9872,1.0,9,1.0,1.0
rage__rage-keygen,50,5,41,0.0055,0.8746,0.9,,0,,
rathole__rathole,1436,32,63,0.9762,0.9932,0.993,0.8974,19,0.7619,1.0
ripgrep__rg,1299,16,42,0.9718,0.9982,0.9977,1.0,16,1.0,1.0
runiq__runiq,156,22,39,0.8021,0.9906,0.9808,1.0,1,1.0,1.0
rust-parallel__rust-parallel,839,16,47,0.9381,0.9991,0.9988,1.0,15,1.0,1.0
rust-script__rust-script,332,16,36,0.7998,0.9936,0.988,1.0,7,1.0,1.0
rustscan__rustscan,1166,32,56,0.9605,0.9977,0.9966,0.963,16,1.0,1.0
sd__xtask,145,16,34,0.7019,0.9701,0.9448,1.0,0,,
skim__sk,2442,16,50,0.9731,0.9979,0.9971,0.9444,16,1.0,1.0
starship__starship,6609,32,122,0.9866,0.9988,0.998,0.9412,19,1.0,1.0
taplo__taplo,283,16,110,0.4344,0.9937,0.9894,1.0,3,1.0,1.0
tealdeer__tldr,982,16,61,0.8351,0.9958,0.9939,1.0,17,1.0,1.0
tokei__tokei,1089,32,56,0.6988,0.9911,0.989,0.9394,25,0.8857,1.0
topgrade__topgrade,2941,16,60,0.9795,0.9996,0.9993,1.0,16,1.0,1.0
trippy__hello-world,181,16,18,0.9077,0.9846,0.989,0.9091,3,0.9655,1.0
trippy__toy-traceroute,252,16,18,0.973,1.0,1.0,1.0,4,1.0,1.0
typos__typos,731,16,64,0.9458,1.0,1.0,1.0,15,1.0,1.0
viu__viu,1026,16,46,0.9077,0.9953,0.9942,0.8947,17,1.0,1.0
watchexec__watchexec,3004,16,126,0.9126,0.9949,0.9927,0.8636,17,1.0,1.0
websocat__websocat,3129,32,63,0.9885,0.9995,0.999,1.0,23,1.0,1.0
wormhole-rs__wormhole-rs,2085,16,64,0.9578,0.9985,0.9971,1.0,17,1.0,1.0
xh__xh,2200,16,60,0.8461,0.9987,0.9982,1.0,18,1.0,1.0
xplr__xplr,3483,24,28,0.9974,0.9995,0.9991,1.0,16,1.0,1.0
xsv__xsv,722,16,25,0.9821,1.0,1.0,1.0,15,1.0,1.0
zellij__zellij,638,16,146,0.3537,0.9119,0.9044,0.6,6,1.0,1.0
zola__zola,1995,16,158,0.8534,0.9914,0.986,0.9,17,1.0,1.0
zoxide__zoxide,623,16,19,0.9929,1.0,1.0,1.0,8,1.0,1.0
