binary,language,n_functions,n_named,n_groups_emitted,mean_run_length,median_run_length,max_run_length,notes
libHalide.so.17.0.0,c++,98346,97217,48476,2.01,2,26,real; 113652 itanium-mangled of 114813 defined
node,c++,100138,95916,46696,2.05,2,130,real; 85958 itanium-mangled of 111800 defined
libxl.so,c++,93900,93773,43690,2.15,2,151,real; 107533 itanium-mangled of 109119 defined
libQt5WebKit.so.5.212.0,c++,63312,63266,31919,1.98,2,14,real; 68111 itanium-mangled of 68717 defined
libjvm.so,c++,49533,49531,23123,2.14,2,1228,real; 51748 itanium-mangled of 54485 defined
libz3.so.4.12.2.0,c++,45605,45579,22858,1.99,2,46,real; 46536 itanium-mangled of 48831 defined
libjvm.so,c++,44046,44044,20378,2.16,2,1068,real; 45753 itanium-mangled of 48395 defined
libjvm.so,c++,44027,44025,20373,2.16,2,1064,real; 45728 itanium-mangled of 48357 defined
libjvm.so,c++,43731,43729,20225,2.16,2,1073,real; 45619 itanium-mangled of 48110 defined
z3,c++,44722,27981,13994,2.0,2,25,real; 45557 itanium-mangled of 47893 defined
libjvm.so,c++,41902,41900,19657,2.13,2,707,real; 44953 itanium-mangled of 47007 defined
core_ghidra.so,c++,34493,6657,3280,2.03,2,14,real; 40723 itanium-mangled of 40938 defined
libitkvnl-5.3.so.1,c++,36483,1026,417,2.46,2,43,real; 38473 itanium-mangled of 38637 defined
libmwarrow.so.1500.1.0,c++,32773,23187,11651,1.99,2,13,real; 37665 itanium-mangled of 38168 defined
sleighc,c++,31345,5214,2577,2.02,2,10,real; 37130 itanium-mangled of 37277 defined
libgdal.so.34.3.8.3,c++,29916,28974,14880,1.95,2,12,real; 27760 itanium-mangled of 32785 defined
libmwdnnl.so.1.4,c++,24831,24673,12949,1.91,2,56,real; 28928 itanium-mangled of 29292 defined
libfbxsdk.so,c++,20963,18549,9201,2.02,2,11,real; 24240 itanium-mangled of 24503 defined
libQt5Gui.so.5.15.16,c++,16175,16087,8192,1.96,2,27,real; 17220 itanium-mangled of 18209 defined
libQt5Widgets.so.5.15.16,c++,15630,15609,7996,1.95,2,9,real; 17347 itanium-mangled of 17360 defined
libgrpc.so.41.0.0,c++,15629,11924,5917,2.02,2,34,real; 16403 itanium-mangled of 17191 defined
QtWidgets.abi3.so,c++,14709,14708,8946,1.64,1,17,real; 8975 itanium-mangled of 15103 defined
libsbml.so.5.11.4,c++,11871,10272,4734,2.17,2,45,real; 10608 itanium-mangled of 13560 defined
libQt5Core.so.5.15.16,c++,11142,11108,5642,1.97,2,11,real; 12147 itanium-mangled of 12716 defined
libgrpc_unsecure.so.41.0.0,c++,11325,8678,4326,2.01,2,34,real; 11750 itanium-mangled of 12382 defined
libmwmagma.so,c++,10931,9449,4481,2.11,2,356,real; 5978 itanium-mangled of 11109 defined
libxalan-c.so.112.0,c++,8900,6970,3490,2.0,2,18,real; 10418 itanium-mangled of 10547 defined
libQt5XmlPatterns.so.5.15.16,c++,8745,8738,4831,1.81,2,14,real; 10435 itanium-mangled of 10446 defined
